Date,Time,Average,Peak
2014:12:04,19:34:57.514,54.617455,70.236256
2014:12:04,19:34:57.614,59.349076,70.236256
2014:12:04,19:34:57.713,62.194048,70.236256
2014:12:04,19:34:57.814,62.989658,70.236256
2014:12:04,19:34:57.914,57.223420,60.589282
2014:12:04,19:34:58.014,57.710981,61.710236
2014:12:04,19:34:58.113,57.648053,61.710236
2014:12:04,19:34:58.214,66.429034,70.997740
2014:12:04,19:34:58.314,71.460561,71.469930
2014:12:04,19:34:58.414,70.435791,71.469930
2014:12:04,19:34:58.513,72.138097,72.160757
2014:12:04,19:34:58.614,70.481679,72.982879
2014:12:04,19:34:58.714,64.319237,72.982879
2014:12:04,19:34:58.814,60.880436,72.982879
2014:12:04,19:34:58.914,50.520545,72.982879
2014:12:04,19:35:2.299,60.051023,72.982879
2014:12:04,19:35:2.399,64.224357,72.982879
2014:12:04,19:35:2.499,50.125155,72.982879
2014:12:04,19:35:2.599,48.847491,72.982879
2014:12:04,19:35:2.699,49.986103,72.982879
2014:12:04,19:35:2.799,49.478188,72.982879
2014:12:04,19:35:2.899,52.219075,72.982879
2014:12:04,19:35:2.999,66.863732,72.982879
2014:12:04,19:35:3.099,69.267289,72.982879
2014:12:04,19:35:3.199,68.862035,72.982879
2014:12:04,19:35:3.299,69.917338,69.917338
2014:12:04,19:35:3.399,71.696000,71.696000
2014:12:04,19:35:3.499,70.584226,72.989294
2014:12:04,19:35:3.599,69.052760,72.989294
2014:12:04,19:35:3.699,69.278903,72.989294
2014:12:04,19:35:3.799,59.563003,72.989294
2014:12:04,19:35:3.899,54.626005,72.989294
2014:12:04,19:35:3.999,72.565602,72.989294
2014:12:04,19:35:4.099,72.534614,72.989294
2014:12:04,19:35:4.199,62.160340,72.989294
2014:12:04,19:35:4.299,62.917164,72.989294
2014:12:04,19:35:4.399,67.525779,72.989294
2014:12:04,19:35:4.499,68.305437,73.061859
2014:12:04,19:35:4.599,66.484063,73.061859
2014:12:04,19:35:4.699,69.066834,73.061859
2014:12:04,19:35:4.799,70.285895,73.061859
2014:12:04,19:35:4.899,68.175813,73.061859
2014:12:04,19:35:4.999,70.982755,73.061859
2014:12:04,19:35:5.099,70.504876,73.061859
2014:12:04,19:35:5.199,68.557475,73.061859
2014:12:04,19:35:5.299,68.713125,73.061859
2014:12:04,19:35:5.399,70.957369,70.968462
2014:12:04,19:35:5.499,70.580635,70.968462
2014:12:04,19:35:5.599,72.636795,72.647932
2014:12:04,19:35:5.699,70.355750,72.647932
2014:12:04,19:35:5.799,62.029072,72.647932
2014:12:04,19:35:5.899,66.265393,72.647932
2014:12:04,19:35:5.999,73.045730,73.081870
2014:12:04,19:35:6.099,73.236374,73.241888
2014:12:04,19:35:6.199,71.724399,77.220643
2014:12:04,19:35:6.299,79.252680,79.259617
2014:12:04,19:35:6.399,55.327568,79.259617
2014:12:04,19:35:6.499,75.568467,79.259617
2014:12:04,19:35:6.599,73.200614,79.259617
2014:12:04,19:35:6.699,57.068163,79.259617
2014:12:04,19:35:6.799,74.690125,79.259617
2014:12:04,19:35:6.899,55.769427,79.259617
2014:12:04,19:35:6.999,67.608652,79.259617
2014:12:04,19:35:7.099,69.382892,79.259617
2014:12:04,19:35:7.199,68.072196,79.259617
2014:12:04,19:35:7.299,64.314568,79.259617
2014:12:04,19:35:7.399,69.877633,79.259617
2014:12:04,19:35:7.499,56.078460,73.478837
2014:12:04,19:35:7.599,67.721121,73.478837
2014:12:04,19:35:7.699,66.245063,73.478837
2014:12:04,19:35:7.799,68.590344,73.478837
2014:12:04,19:35:7.899,60.012697,73.478837
2014:12:04,19:35:7.999,65.871591,73.478837
2014:12:04,19:35:8.099,64.126137,73.478837
2014:12:04,19:35:8.199,65.349304,73.478837
2014:12:04,19:35:8.299,67.709617,73.478837
2014:12:04,19:35:8.399,73.510179,73.510179
2014:12:04,19:35:8.499,71.331418,76.056635
2014:12:04,19:35:8.599,71.630871,76.056635
2014:12:04,19:35:8.699,65.356576,76.056635
2014:12:04,19:35:8.799,70.312704,76.056635
2014:12:04,19:35:8.899,72.673978,76.056635
2014:12:04,19:35:8.999,72.862128,76.056635
2014:12:04,19:35:9.099,73.517109,76.056635
2014:12:04,19:35:9.199,75.657165,76.056635
2014:12:04,19:35:9.299,70.199801,76.056635
2014:12:04,19:35:9.399,68.489559,76.056635
2014:12:04,19:35:9.499,59.124000,76.056635
2014:12:04,19:35:9.599,75.872404,75.895720
2014:12:04,19:35:9.699,74.650422,78.080413
2014:12:04,19:35:9.799,71.816333,78.080413
2014:12:04,19:35:9.899,71.368669,78.080413
2014:12:04,19:35:9.999,70.986057,78.080413
2014:12:04,19:35:10.099,72.588711,78.080413
2014:12:04,19:35:10.199,69.491736,78.080413
2014:12:04,19:35:10.299,68.405757,78.080413
2014:12:04,19:35:10.399,68.571234,78.080413
2014:12:04,19:35:10.499,68.225198,78.080413
2014:12:04,19:35:10.599,66.740752,78.080413
2014:12:04,19:35:10.700,56.870145,78.080413
2014:12:04,19:35:10.800,66.938490,78.080413
2014:12:04,19:35:10.899,70.862157,78.080413
2014:12:04,19:35:10.999,69.562986,78.080413
2014:12:04,19:35:11.099,68.344555,78.080413
2014:12:04,19:35:11.199,70.406685,78.080413
2014:12:04,19:35:11.299,67.176563,78.080413
2014:12:04,19:35:11.399,69.534314,78.080413
2014:12:04,19:35:11.499,59.070437,78.080413
2014:12:04,19:35:11.599,62.470619,78.080413
2014:12:04,19:35:11.699,68.886515,70.331889
2014:12:04,19:35:11.799,64.962482,70.967755
2014:12:04,19:35:11.899,68.619576,70.967755
2014:12:04,19:35:11.999,67.965337,70.967755
2014:12:04,19:35:12.099,67.112837,70.967755
2014:12:04,19:35:12.199,63.475069,70.967755
2014:12:04,19:35:12.299,58.875524,70.967755
2014:12:04,19:35:12.399,52.615182,70.967755
2014:12:04,19:35:12.499,54.066263,70.967755
2014:12:04,19:35:12.599,69.604335,70.967755
2014:12:04,19:35:19.117,67.887587,71.469643
2014:12:04,19:35:19.217,61.352138,71.469643
2014:12:04,19:35:19.317,52.341904,71.469643
2014:12:04,19:35:19.417,51.136420,71.469643
2014:12:04,19:35:19.517,58.569106,71.469643
