Date	Time	AveragePeak
2014:12:04	19:43:5.175	73.631913	76.905397
2014:12:04	19:43:5.275	75.042403	76.905397
2014:12:04	19:43:5.374	73.857199	76.905397
2014:12:04	19:43:5.474	97.441635	102.160034
2014:12:04	19:43:5.574	96.606704	102.160034
2014:12:04	19:43:5.675	88.505543	102.160034
2014:12:04	19:43:5.775	72.695393	102.160034
2014:12:04	19:43:5.875	91.075408	102.160034
2014:12:04	19:43:5.975	90.971748	102.160034
2014:12:04	19:43:6.075	78.753856	102.160034
2014:12:04	19:43:6.175	97.926586	98.348975
2014:12:04	19:43:6.275	92.920723	98.348975
2014:12:04	19:43:6.375	78.791681	98.348975
2014:12:04	19:43:6.474	76.214412	98.348975
2014:12:04	19:43:6.574	74.668527	98.348975
2014:12:04	19:43:6.675	74.686930	98.348975
2014:12:04	19:43:6.775	73.994957	98.348975
2014:12:04	19:43:6.874	74.548774	98.348975
2014:12:04	19:43:6.975	75.051796	98.348975
2014:12:04	19:43:7.075	75.084434	98.348975
2014:12:04	19:43:31.425	78.292311	98.348975
2014:12:04	19:43:31.524	75.602289	98.348975
2014:12:04	19:43:31.625	93.931306	98.348975
2014:12:04	19:43:31.725	91.947711	98.348975
2014:12:04	19:43:31.825	89.202990	98.348975
2014:12:04	19:43:31.925	82.126208	98.348975
2014:12:04	19:43:32.025	81.123243	98.348975
2014:12:04	19:43:32.125	80.091209	98.348975
2014:12:04	19:43:32.225	79.903321	98.348975
2014:12:04	19:43:32.325	79.534884	98.348975
2014:12:04	19:43:32.425	78.791569	98.348975
2014:12:04	19:43:32.524	77.769821	79.072989
2014:12:04	19:43:32.625	81.565726	81.601007
2014:12:04	19:43:32.724	87.399145	92.004391
2014:12:04	19:43:32.825	81.647531	92.004391
2014:12:04	19:43:32.925	79.418433	92.004391
2014:12:04	19:43:33.024	98.746981	103.289197
2014:12:04	19:43:33.128	92.894851	103.289197
2014:12:04	19:43:33.225	88.443357	103.289197
2014:12:04	19:43:33.325	97.091363	103.289197
2014:12:04	19:43:33.425	92.180752	103.289197
2014:12:04	19:43:33.526	88.479814	103.289197
2014:12:04	19:43:33.625	89.459538	103.289197
2014:12:04	19:43:33.725	85.996457	103.289197
2014:12:04	19:43:33.825	82.836280	103.289197
2014:12:04	19:43:33.925	81.622069	103.289197
2014:12:04	19:43:34.025	86.307440	103.289197
2014:12:04	19:43:34.125	82.974382	103.289197
2014:12:04	19:43:34.225	82.636713	103.289197
2014:12:04	19:43:34.325	90.636856	103.289197
2014:12:04	19:43:34.425	87.654152	103.289197
2014:12:04	19:43:34.525	87.151110	103.289197
2014:12:04	19:43:34.625	80.203605	85.991608
2014:12:04	19:43:34.725	83.800485	85.991608
2014:12:04	19:43:34.825	81.901215	85.991608
2014:12:04	19:43:34.925	82.123774	85.991608
2014:12:04	19:43:35.025	83.013184	85.991608
2014:12:04	19:43:35.125	81.000144	85.991608
2014:12:04	19:43:35.225	79.994159	85.991608
