Time,CBuilding,Playground,Dorm5,Dorm9
22:05.6,87.554715,92.930063,82.432896,70.152012
22:05.7,83.664198,89.348308,80.694179,73.791758
22:05.8,85.072632,89.614869,76.001926,81.064995
22:05.9,83.331195,88.36427,74.984719,102.416622
22:06.0,85.879156,85.912928,70.990519,81.627142
22:06.1,83.678646,84.414335,68.815261,47.918044
22:06.2,83.737221,89.70734,70.406856,61.095632
22:06.3,84.568254,89.434528,73.168817,51.827031
22:06.4,81.881779,89.617702,64.19271,49.740171
22:06.5,86.258888,87.66761,62.575167,48.577565
22:06.6,84.882266,83.861354,60.009333,47.98867
22:06.7,83.055937,87.444344,53.894181,63.107784
22:06.8,82.80455,84.531827,67.213905,96.225043
22:06.9,83.553741,92.348039,69.115807,99.543948
22:07.0,83.251543,89.333967,74.84676,99.178662
22:07.1,86.473664,94.409354,78.367677,97.51298
22:07.2,90.048049,89.860959,82.345614,95.463221
22:07.3,84.944539,89.149773,82.299166,93.228916
22:07.4,79.099485,98.013453,82.648817,84.324243
22:07.5,83.045658,92.749878,80.592505,85.446696
22:07.6,82.268814,86.058473,82.209401,84.933457
22:07.7,80.794106,57.99325,85.485773,77.571407
22:07.8,79.67907,55.469887,86.012006,86.711442
22:07.9,82.035715,46.932402,87.36899,88.046905
22:08.0,84.457335,48.956876,89.270667,79.624015
22:08.1,85.576676,51.033534,87.662744,63.344303
22:08.2,82.022705,55.910118,88.928435,81.530503
22:08.3,81.534833,52.329025,86.246439,76.690353
22:08.4,83.591418,49.922607,84.67817,76.124996
22:37.9,49.606145,88.958519,84.653467,83.26412
22:38.0,53.464198,103.439927,81.219134,80.191424
22:38.1,48.939513,101.791411,78.655547,68.088082
22:38.2,55.720378,96.820243,79.892794,50.554403
22:38.3,54.057207,87.735232,80.575392,47.948238
22:38.4,56.344181,105.611397,80.270745,55.980304
22:38.5,51.016575,101.692289,79.826798,48.381475
22:38.6,55.336825,87.515148,74.85127,67.582787
22:38.7,54.151766,73.075014,71.059862,97.654437
22:38.8,58.267421,62.794729,63.63791,92.942446
22:38.9,55.737068,77.232468,58.907839,87.729054
22:39.0,60.679736,76.853562,79.060894,89.566063
22:39.1,53.646439,62.471139,78.444251,77.133293
22:39.2,57.510292,53.469708,77.851352,62.366722
22:39.3,86.555869,60.295976,90.032773,73.818484
22:39.4,89.056306,51.736187,91.080162,83.562864
22:39.5,91.693688,52.620335,88.738236,85.968731
22:39.6,95.507477,99.89243,87.273587,78.591855
22:39.7,93.014107,96.928851,86.972179,80.404998
22:39.8,99.371789,100.891576,83.528217,66.925097
22:39.9,94.555926,96.838146,86.921467,63.346174
22:40.0,97.072065,96.529206,90.70534,55.983314
22:40.1,91.623023,97.250141,91.243029,55.239448
22:40.2,91.350617,97.277061,91.585697,51.142999
22:40.3,83.451359,96.541281,91.627933,47.015292
22:40.4,81.439136,94.564759,91.75039,50.607041
22:40.5,73.715152,92.076998,91.752222,49.308241
22:40.6,63.400388,95.288324,88.629724,48.11275
22:40.7,54.366686,90.032118,88.024152,52.949808
22:40.8,48.741319,87.254911,86.464797,50.777795
22:40.9,51.728303,94.772391,82.779991,47.797811
22:41.0,48.9597,87.34444,78.535321,67.420197
22:41.1,49.035372,93.566429,81.103586,97.546168
22:41.2,48.599636,94.490831,51.598605,92.715673
22:41.3,49.617947,88.927763,48.736186,87.478447
22:41.4,48.472549,94.14668,63.333181,86.346922
22:41.5,48.210295,90.331034,54.529081,76.719803
22:41.6,48.256561,90.738091,49.980047,62.260574
22:41.7,47.892833,89.893454,59.901948,73.442156
22:41.8,60.251799,93.404199,55.000555,82.992842
22:41.9,62.245403,94.80732,53.142675,85.746633
22:42.0,53.149707,94.142801,73.680367,78.368042
22:42.1,54.720941,92.441369,56.901099,81.23922
22:42.2,83.136648,87.794817,52.381231,66.449653
22:42.3,90.215064,90.545039,48.597081,63.086697
22:42.4,100.363438,94.439356,49.086447,55.19309
22:42.5,101.522931,89.786594,49.979377,54.528647
22:42.6,100.326253,95.502532,53.770162,51.632663
22:42.7,101.122631,85.271348,70.354534,47.072399
22:42.8,97.279795,92.416925,50.369573,48.586945
22:42.9,93.248166,88.569521,50.868408,47.753033
22:43.0,91.080607,92.213629,48.307596,47.16016
22:43.1,87.815927,90.029567,50.655405,48.116428
22:43.2,86.208714,95.48054,49.424142,51.826663
22:43.3,80.760461,88.818188,55.208902,46.456805
22:43.4,74.22068,94.535182,54.267754,51.28774
22:43.5,69.118035,92.313191,56.403949,53.885904
22:43.6,63.569282,96.726028,63.648368,50.898307
22:43.7,57.91626,90.114168,59.866768,53.646407
22:43.8,53.044017,91.653776,73.469893,47.838189
22:43.9,48.00249,95.158788,83.534404,48.119588
22:44.0,49.370608,95.244099,81.696257,59.885386
22:44.1,47.687573,91.407732,87.147969,52.628026
22:44.2,49.003913,94.780017,83.958518,53.744235
22:44.3,48.779733,88.768226,84.414495,51.050891
22:44.4,48.410959,95.595649,84.349929,46.514846
22:44.5,48.192395,88.724876,87.975259,48.439334
22:44.6,48.330777,95.108728,85.320083,49.101679
22:44.7,48.540529,89.789868,78.494514,65.743653
22:44.8,48.935018,93.878617,69.838933,77.777089
22:44.9,48.741077,96.740304,75.695755,77.291629
22:45.0,49.319472,92.862771,81.77044,75.734349
22:45.1,49.39827,88.077176,80.961552,79.492188
22:45.2,47.255202,93.284839,84.207417,79.970496
22:45.3,47.865596,89.956762,86.07607,89.400566
22:45.4,53.697213,87.485786,85.299174,87.574701
22:45.5,53.958324,88.161807,84.139057,87.874084
22:45.6,49.940221,94.025117,83.614986,91.080971
22:45.7,48.382525,90.707606,77.595886,75.497521
22:45.8,48.767071,88.923886,73.342816,71.648395
22:45.9,48.058789,86.14983,65.612555,69.398537
22:46.0,50.368013,89.565012,68.309232,55.210695
22:46.1,50.794872,88.937477,77.810911,49.721132
22:46.2,48.82269,91.982609,80.108043,48.514212
22:46.3,58.668042,89.446722,73.875515,50.44617
22:46.4,54.310155,95.71975,67.86227,52.17391
22:46.5,50.516891,91.745532,63.915354,50.177506
22:46.6,63.063264,92.646004,66.03768,52.65508
22:46.7,48.76792,91.346594,68.59446,50.747934
22:46.8,51.188248,90.895946,74.09193,48.483098
22:46.9,56.126167,91.469659,71.32753,67.189041
22:47.0,47.896739,90.546238,71.319553,74.130405
22:47.1,49.226305,94.14338,74.348868,73.869616
22:47.2,47.220694,90.610528,73.66746,75.052874
22:47.3,47.739686,86.605255,74.462948,87.189239
22:47.4,51.357464,89.968804,79.359688,72.259552
22:47.5,87.589911,89.20989,80.491327,88.952794
22:47.6,90.099821,86.875925,83.442411,88.524239
22:47.7,96.674708,92.223358,88.070753,86.837658
22:47.8,99.526867,87.441953,87.401783,55.931241
22:47.9,98.144099,89.422649,90.799617,48.183455
22:48.0,100.986007,84.95893,88.1589,48.647203
22:48.1,97.477236,84.380716,83.877764,46.412409
22:48.2,97.304428,87.033199,87.525913,46.106756
22:48.3,92.963923,83.380491,81.47713,56.414899
22:48.4,91.022526,85.177283,76.598808,48.484077
22:48.5,85.191815,80.585938,81.269654,49.288134
22:48.6,82.405883,82.946206,87.632981,48.167205
22:48.7,75.83056,81.233273,86.846808,50.203201
22:48.8,64.589031,74.226083,84.460356,48.874521
22:48.9,64.068934,64.95095,75.871065,47.250041
22:49.0,50.049757,65.069187,75.323846,70.059912
22:49.1,49.47116,51.569989,79.043712,56.083339
22:49.2,47.918114,52.324593,81.871407,50.308982
22:49.3,48.613146,59.122343,78.272077,53.442252
22:49.4,51.393953,53.607639,82.555176,50.07715
22:49.5,50.408095,52.435663,77.550167,85.707544
22:49.6,53.675383,51.210596,82.575127,90.63989
22:49.7,58.710471,64.354754,83.075219,89.960474
22:49.8,52.55052,66.650916,84.532306,94.418737
22:49.9,52.431597,68.317886,82.190118,84.165372
22:50.0,64.026222,69.876287,79.266616,67.834171
22:50.1,59.079241,63.633376,80.294906,52.556559
22:50.2,52.104316,60.473031,78.790787,49.699967
22:50.3,52.933918,49.840561,78.949572,51.257025
22:50.4,74.201472,47.73757,85.679387,53.600994
22:50.5,91.953752,87.736538,82.217971,49.638976
22:50.6,96.589083,64.269613,78.542769,49.599893
22:50.7,99.497642,54.705225,75.853419,56.097293
22:50.8,100.064844,50.471719,82.646213,47.563015
22:50.9,99.834569,56.664199,73.616185,85.672653
22:51.0,94.77201,54.354479,78.972054,88.082329
22:51.1,93.068618,52.971532,79.497117,89.946412
22:51.2,89.532971,48.852939,79.332604,94.336177
22:51.3,90.90765,54.931195,79.811354,79.286693
22:51.4,86.558427,52.870943,76.218168,67.302067
22:51.5,82.698086,50.74138,79.76229,50.598519
22:51.6,73.963839,58.953813,76.1277,46.697876
23:24.0,48.447515,84.467014,79.665824,47.483344
23:24.1,47.248353,101.78344,78.383641,48.423371
23:24.2,47.668511,97.901064,79.018469,46.483228
23:24.3,50.810555,98.017944,77.946851,54.189868
23:24.4,51.687638,96.937871,74.532265,52.171397
23:24.5,51.83055,95.523985,79.9833,47.749954
23:24.6,49.911015,94.016334,78.27532,56.195725
23:24.7,78.370309,95.769556,79.679554,47.278269
23:24.8,86.708794,94.608431,82.816466,47.907384
23:24.9,99.687454,93.381074,87.668856,90.444083
