Time,CBuilding,Playground,Dorm5,Dorm9,Dorm8,Road,Playground2,CBuilding2,Road2,Road3
22:18.0,51.357464,89.968804,79.359688,72.259552,48.011626,79.811419,73.484938,70.98489,79.034899,83.378757
22:18.1,87.589911,89.20989,80.491327,88.952794,49.126852,80.132925,81.670381,74.166072,79.3961,80.036599
22:18.2,90.099821,86.875925,83.442411,88.524239,68.185685,79.596446,73.01197,61.551138,68.614903,89.449337
22:18.3,96.674708,92.223358,88.070753,86.837658,48.118661,80.017181,82.202105,71.658596,77.117643,77.579135
22:18.4,99.526867,87.441953,87.401783,55.931241,46.786344,79.159351,89.596562,67.738859,73.518435,90.325111
22:18.5,98.144099,89.422649,90.799617,48.183455,47.934589,80.249445,79.216788,55.901935,82.085784,64.506594
22:18.6,100.986007,84.95893,88.1589,48.647203,62.573585,80.307655,80.53995,60.913893,78.814988,61.619789
22:18.7,97.477236,84.380716,83.877764,46.412409,53.056164,79.76914,75.787562,73.512127,78.06222,64.003655
22:18.8,97.304428,87.033199,87.525913,46.106756,47.800605,79.662907,82.508159,59.091151,78.624978,69.060221
22:18.9,92.963923,83.380491,81.47713,56.414899,52.169614,78.910775,68.488201,65.757763,84.679873,77.864528
22:19.0,91.022526,85.177283,76.598808,48.484077,52.221658,80.632311,72.304487,85.264513,61.766202,94.533571
22:19.1,85.191815,80.585938,81.269654,49.288134,48.244382,80.630032,63.272344,78.957355,69.777419,84.235409
22:19.2,82.405883,82.946206,87.632981,48.167205,47.188209,79.342147,79.119657,66.694605,74.744939,92.603506
22:19.3,75.83056,81.233273,86.846808,50.203201,50.255009,77.964721,70.67201,52.879909,62.922724,96.979326
22:19.4,64.589031,74.226083,84.460356,48.874521,49.948812,79.359912,74.330333,60.536849,63.416634,88.859205
22:19.5,64.068934,64.95095,75.871065,47.250041,47.52141,79.235026,66.679423,67.540289,53.837785,96.916469
22:19.6,50.049757,65.069187,75.323846,70.059912,48.219772,81.055018,83.20843,80.88485,63.13776,84.14315
22:19.7,49.47116,51.569989,79.043712,56.083339,46.828005,80.769149,76.650403,78.282905,72.314968,65.940174
22:19.8,47.918114,52.324593,81.871407,50.308982,46.16105,80.666087,66.425427,64.256989,78.710002,88.866822
22:19.9,48.613146,59.122343,78.272077,53.442252,50.550813,79.475519,68.519692,73.685556,82.452812,73.098814
22:20.0,51.393953,53.607639,82.555176,50.07715,48.386029,80.788681,72.657586,72.701261,76.490601,91.952383
22:20.1,50.408095,52.435663,77.550167,85.707544,48.192409,79.441238,73.371945,76.116432,74.853483,86.141614
22:20.2,53.675383,51.210596,82.575127,90.63989,48.245048,78.991454,71.200705,66.257608,73.149285,90.144817
22:20.3,58.710471,64.354754,83.075219,89.960474,47.732381,80.441426,67.705559,74.804389,71.358611,90.693345
22:20.4,52.55052,66.650916,84.532306,94.418737,46.739035,79.011835,58.075578,68.179583,86.493168,91.066475
22:20.5,52.431597,68.317886,82.190118,84.165372,62.488163,79.062404,56.813898,64.278599,89.024716,94.491212
22:20.6,64.026222,69.876287,79.266616,67.834171,48.006231,80.134143,65.878109,59.548154,87.52154,88.383595
22:20.7,59.079241,63.633376,80.294906,52.556559,48.101306,80.043508,65.542142,59.17111,83.200514,88.776463
22:20.8,52.104316,60.473031,78.790787,49.699967,48.464484,81.009317,66.701319,66.622477,60.597095,81.536698
22:20.9,52.933918,49.840561,78.949572,51.257025,48.755589,78.721084,76.238102,62.133205,82.776246,82.399791
22:21.0,74.201472,47.73757,85.679387,53.600994,47.672368,80.815106,73.640992,64.396227,68.503255,79.453284
22:21.1,91.953752,87.736538,82.217971,49.638976,46.584831,81.24504,69.507088,72.823462,84.423624,83.247262
22:21.2,96.589083,64.269613,78.542769,49.599893,48.69086,82.143204,63.82715,66.611662,86.284705,78.838194
22:21.3,99.497642,54.705225,75.853419,56.097293,46.898182,81.804493,75.834286,81.8348,88.227295,85.02958
22:21.4,100.064844,50.471719,82.646213,47.563015,46.276339,81.998404,69.03597,76.253552,85.4926,86.290252
22:21.5,99.834569,56.664199,73.616185,85.672653,66.651396,84.23531,53.838154,71.202628,81.729477,74.951851
22:21.6,94.77201,54.354479,78.972054,88.082329,51.660988,81.738321,56.33292,63.855219,77.840835,83.2317
22:21.7,93.068618,52.971532,79.497117,89.946412,48.097899,88.146274,56.812656,67.512428,88.921314,84.783931
22:21.8,89.532971,48.852939,79.332604,94.336177,46.608754,80.814559,58.803903,70.963302,85.896678,75.176719
22:21.9,90.90765,54.931195,79.811354,79.286693,46.89061,81.180581,57.871794,70.172846,60.612718,82.207691
22:22.0,86.558427,52.870943,76.218168,67.302067,46.511753,80.717222,53.28742,72.461788,90.582232,68.289931
22:22.1,82.698086,50.74138,79.76229,50.598519,46.611778,82.157713,64.307242,70.606816,76.100274,72.357496
22:22.2,73.963839,58.953813,76.1277,46.697876,47.911322,81.59985,57.574671,65.243607,61.91697,78.333313
22:22.3,48.447515,84.467014,79.665824,47.483344,47.040437,79.973723,75.971317,57.429521,59.210081,74.157965
22:22.4,47.248353,101.78344,78.383641,48.423371,47.30719,79.842709,69.19732,62.52688,58.145668,71.602287
22:22.5,47.668511,97.901064,79.018469,46.483228,55.409813,80.582846,81.803651,54.990647,65.737277,80.127425
22:22.6,50.810555,98.017944,77.946851,54.189868,50.003645,80.093005,82.925543,52.768336,57.444135,71.891151
22:22.7,51.687638,96.937871,74.532265,52.171397,45.970057,81.460332,68.53929,88.823535,50.962073,67.296218
22:22.8,51.83055,95.523985,79.9833,47.749954,47.258474,81.321773,76.62833,89.966639,55.812957,55.567428
