Time,CBuilding,Playground,Dorm5,Dorm9,Dorm8,Road,Playground2,CBuilding2,Road2,Road3
21:59.0,88.770616,96.962597,83.122823,44.659674,48.794109,91.98092,82.642238,59.031591,99.023696,59.510919
21:59.1,91.642699,97.697769,82.748412,47.701767,58.487566,89.078138,80.202352,71.334171,93.091719,65.586438
21:59.2,91.234819,90.480652,86.094196,50.214856,83.317225,90.408836,82.037601,71.853126,80.128127,61.361413
21:59.3,95.777878,89.076711,85.550507,48.003133,90.012635,88.106085,82.035083,62.453843,91.108823,59.531335
21:59.4,91.441738,98.731488,87.651258,47.872941,87.414781,89.97308,80.202856,64.828854,92.348455,53.223415
21:59.5,85.255034,89.822958,89.16379,49.525588,90.519427,89.033422,82.128227,63.346361,87.97604,70.815033
21:59.6,82.220249,90.677315,87.339881,49.947027,87.641543,89.336613,80.380584,60.736575,81.649094,54.795358
21:59.7,86.719219,87.717571,89.272109,50.959,84.679565,89.457447,80.103108,54.323599,85.905546,56.510059
21:59.8,85.835449,90.98901,86.806677,48.33602,82.647322,89.982152,80.565997,51.76707,82.842211,56.40121
21:59.9,85.955138,89.891124,84.282843,49.770509,71.64893,89.607373,81.016843,48.718395,89.56959,60.627689
22:00.0,88.430001,87.626947,85.17886,55.031031,87.807866,89.243055,79.435992,47.755104,83.209256,58.540023
22:00.1,85.218252,88.389694,80.882625,50.835353,72.238743,88.865069,78.923634,50.647929,83.882193,56.147741
22:00.2,87.098548,79.203798,78.63569,50.133156,50.398704,89.102659,82.051276,48.012789,64.998052,50.449965
22:00.3,84.703313,97.041573,79.42297,53.6857,46.431909,90.077062,79.818657,59.199316,80.648413,52.766031
22:00.4,91.749336,87.037935,77.935068,49.042377,46.989781,88.145844,81.681348,54.640231,64.26934,53.733474
22:00.5,86.402941,98.162662,77.015892,48.357135,45.995321,88.614516,80.403425,55.115527,88.747398,53.832814
22:00.6,82.378013,96.315057,77.46579,56.545762,71.134273,86.840581,81.94843,52.776915,76.913269,47.089824
22:00.7,84.890221,93.025895,73.676813,48.054842,51.519968,87.070935,80.476194,51.087979,88.181511,46.772442
22:00.8,83.849139,84.049665,72.978559,93.548576,50.965457,87.830004,80.229135,49.810672,87.828023,49.327111
22:00.9,83.053131,96.438238,69.730733,66.460291,52.891201,85.799138,80.961173,48.391319,76.817491,52.192172
22:01.0,87.746516,89.127039,56.481317,103.467475,50.868559,89.073669,80.17232,48.902999,86.756651,58.182915
22:01.1,82.73286,83.187487,77.892369,93.554904,52.70593,88.048012,80.632666,48.806092,80.837667,56.865138
22:01.2,84.941157,88.83091,74.667855,46.14474,79.254533,90.223179,81.061466,47.15342,83.550137,55.325593
22:01.3,82.851622,91.827562,75.109216,49.109753,70.791734,91.051517,81.026487,47.546451,73.86648,53.213444
22:01.4,90.703306,89.864929,86.49925,48.767946,75.639335,91.874148,81.39633,46.626627,70.143189,50.596863
22:01.5,88.925574,83.764429,87.53544,49.300281,63.520651,90.504495,82.829686,51.096015,77.163975,52.165669
22:01.6,87.766114,91.446273,85.089565,50.737381,62.374314,90.55548,80.598908,48.664388,75.616823,66.76759
22:01.7,85.539655,85.278619,83.906705,47.735253,61.256112,90.546389,80.357237,50.241811,76.300361,60.455377
22:01.8,86.844911,91.028311,83.408561,49.658308,53.308103,89.607932,81.390091,67.236775,84.252886,63.743325
22:01.9,88.206592,79.359489,79.323612,49.972223,48.994009,90.841256,81.127212,66.410622,81.924784,62.298099
22:02.0,81.536783,75.660333,83.534896,47.926723,60.19757,91.635988,81.189499,53.490114,82.990292,59.601614
22:02.1,83.849452,74.672503,87.644684,50.956571,48.733295,93.779773,83.382031,80.057851,82.961561,56.701517
22:02.2,84.418624,77.114479,88.304519,49.214779,46.306762,91.64301,86.040548,64.205631,76.371645,65.752679
22:02.3,83.144188,80.505999,88.320109,52.157438,53.272574,88.097514,83.68931,64.270773,80.348469,55.657832
22:02.4,92.373394,49.292377,89.270519,49.291316,50.04886,86.646143,83.882192,58.329603,66.65241,53.948264
22:02.5,89.699636,53.180052,89.695058,49.699392,47.643231,87.632434,85.169948,68.21603,76.46001,50.783031
22:02.6,90.761818,61.610525,89.972194,54.516106,57.132832,88.853698,83.728288,56.269043,75.249173,48.648736
22:02.7,84.89627,51.003092,85.90803,50.143985,56.182771,89.744943,85.295641,67.178747,76.312865,48.572672
22:02.8,79.68568,81.083702,85.969032,47.378727,57.585724,88.190627,85.254837,62.48737,70.210032,48.879431
22:02.9,81.280999,84.193522,84.252839,47.484872,51.849831,87.292213,85.745982,58.169458,63.880295,50.410122
22:03.0,85.737215,95.102611,80.973197,48.441975,47.645514,87.150546,85.454902,58.043451,79.432417,51.243508
22:03.1,86.270794,82.329622,78.085153,46.859865,46.522149,87.771247,80.615946,48.483839,79.178384,51.620305
22:03.2,83.982169,91.439984,78.851586,59.059789,47.738403,87.621351,79.095523,48.939283,73.667187,58.912849
22:03.3,89.398134,77.548333,75.608316,61.504628,58.246943,89.066843,82.674387,55.004011,87.131994,52.852931
22:03.4,83.981403,93.731716,77.13984,62.338949,49.050254,89.580117,75.690609,52.401752,67.210238,67.336768
22:03.5,88.706599,90.246734,74.306031,63.578327,49.743048,88.842714,75.827259,47.219638,76.135834,65.971817
22:03.6,89.839515,96.114067,70.611554,64.608983,49.663334,88.733186,75.651028,49.024159,67.505347,62.219281
22:03.7,86.84388,93.952125,68.206509,93.272787,49.495559,89.371402,77.49947,52.968246,81.360841,55.412857
22:03.8,83.018237,98.823176,58.489678,96.841235,51.278114,88.550355,80.142839,54.526307,69.800592,52.886537
22:03.9,82.927631,95.633736,75.734596,98.98687,59.277316,88.509323,68.746362,52.022587,57.010538,51.53649
22:04.0,81.012896,97.461665,79.887029,96.42455,47.148158,86.132078,63.177019,52.546974,75.089814,49.394044
22:04.1,84.067667,100.468035,75.562505,96.170361,66.373532,88.492253,62.805935,56.948526,75.832532,49.09265
22:04.2,87.267558,96.458283,87.568449,95.197961,50.916209,86.280679,58.863061,55.068284,74.93075,49.573192
22:04.3,89.556639,97.587285,87.349241,97.10623,49.639627,86.846255,61.162512,74.792801,54.300668,48.682752
22:04.4,88.079638,98.43956,85.952508,88.085886,50.530658,86.747639,61.798646,56.283524,52.876423,48.087323
22:04.5,85.070687,99.714156,84.55779,82.685835,47.529536,87.355726,56.302987,58.072696,54.848995,56.525452
22:04.6,88.089085,95.456859,83.224302,77.98567,47.932393,88.570897,62.656947,56.192943,51.985084,58.312608
22:04.7,84.910835,98.24253,81.921179,49.49752,48.144834,88.242947,57.598801,53.805535,54.040835,85.531643
22:04.8,83.022345,94.381269,83.971431,48.421171,47.159882,87.495234,48.846994,54.365538,72.004226,92.656505
22:04.9,83.636615,91.85261,88.234043,47.35798,61.749756,88.092181,78.050169,54.650501,89.150303,93.613419
22:05.0,95.952991,95.694859,87.470534,50.587521,48.117578,87.930952,85.330813,55.587064,76.583938,90.717144
22:05.1,90.07223,89.427814,88.506688,51.711922,45.841327,89.36289,91.349264,57.944203,72.93071,89.165632
22:05.2,83.701106,93.072236,89.25867,57.076702,50.137091,89.046322,76.285597,61.731925,78.850291,78.075293
22:05.3,84.362677,91.285282,89.637353,53.464766,66.009078,89.129658,82.205078,95.043943,70.097399,57.720371
22:05.4,90.346227,92.461691,89.335879,51.178511,58.790534,87.715379,51.693059,88.702791,70.949669,49.866828
22:05.5,86.794608,89.013606,85.763742,48.512052,48.25745,89.358253,49.068366,80.532196,81.963745,86.824473
22:05.6,87.554715,92.930063,82.432896,70.152012,47.106248,88.498856,51.175638,72.011841,70.641799,66.935527
22:05.7,83.664198,89.348308,80.694179,73.791758,45.244457,88.329532,51.431014,87.789272,75.057555,70.034281
22:05.8,85.072632,89.614869,76.001926,81.064995,46.393861,86.602462,49.838486,83.597664,66.213142,75.114746
22:05.9,83.331195,88.36427,74.984719,102.416622,53.645068,86.829695,48.369501,80.244172,68.121313,80.604519
22:06.0,85.879156,85.912928,70.990519,81.627142,48.784935,88.342757,47.628907,83.392471,68.08056,90.251148
22:06.1,83.678646,84.414335,68.815261,47.918044,45.847504,89.73613,52.260632,80.798109,66.264246,99.015405
22:06.2,83.737221,89.70734,70.406856,61.095632,48.001447,86.697778,52.975761,79.866518,65.038016,94.990702
22:06.3,84.568254,89.434528,73.168817,51.827031,47.309035,88.875282,50.665356,77.177162,72.635175,88.79337
22:06.4,81.881779,89.617702,64.19271,49.740171,48.942857,88.373867,52.759792,80.814768,68.230772,84.049767
22:06.5,86.258888,87.66761,62.575167,48.577565,69.457161,87.983535,49.386066,84.443778,64.922346,89.636748
22:06.6,84.882266,83.861354,60.009333,47.98867,49.926652,87.216474,56.596516,84.449187,72.297952,89.903559
22:06.7,83.055937,87.444344,53.894181,63.107784,48.020516,87.752386,52.116063,84.374389,67.460659,88.480469
22:06.8,82.80455,84.531827,67.213905,96.225043,48.056603,87.458733,50.653778,79.931394,69.058223,84.665996
22:06.9,83.553741,92.348039,69.115807,99.543948,52.198865,87.463576,49.469593,83.640408,65.482954,75.641613
22:07.0,83.251543,89.333967,74.84676,99.178662,49.121167,88.8495,69.117917,70.532491,60.410537,69.92362
22:07.1,86.473664,94.409354,78.367677,97.51298,57.44282,87.508156,53.304299,68.59272,57.980888,72.94163
22:07.2,90.048049,89.860959,82.345614,95.463221,46.92641,88.038506,87.092947,65.236221,48.78604,77.786488
22:07.3,84.944539,89.149773,82.299166,93.228916,55.308095,88.759317,60.564847,61.645285,55.424589,81.947633
22:07.4,79.099485,98.013453,82.648817,84.324243,48.07214,89.023647,53.516107,57.327832,82.76378,78.322685
22:07.5,83.045658,92.749878,80.592505,85.446696,57.916399,89.889269,57.585513,55.92318,85.863336,65.874382
22:07.6,82.268814,86.058473,82.209401,84.933457,47.566985,89.173606,53.934748,53.214849,82.021111,57.252921
22:07.7,80.794106,57.99325,85.485773,77.571407,48.228104,87.594392,54.588666,54.178557,82.906968,55.137449
22:07.8,79.67907,55.469887,86.012006,86.711442,46.640827,89.397565,58.213366,48.973566,63.826536,62.856936
22:07.9,82.035715,46.932402,87.36899,88.046905,46.527359,88.156038,55.845072,54.657743,81.657849,63.454374
22:08.0,84.457335,48.956876,89.270667,79.624015,45.563644,89.225161,61.495988,50.272144,76.832963,64.736194
22:08.1,85.576676,51.033534,87.662744,63.344303,49.272247,88.468283,59.575485,49.586919,68.030307,68.99022
22:08.2,82.022705,55.910118,88.928435,81.530503,51.0958,88.339438,49.734458,78.07876,81.347901,69.921455
22:08.3,81.534833,52.329025,86.246439,76.690353,48.257509,88.410911,62.933312,63.865203,78.049099,67.75806
22:08.4,83.591418,49.922607,84.67817,76.124996,47.524236,89.257435,60.805355,53.117676,77.036547,59.774534
22:08.5,49.606145,88.958519,84.653467,83.26412,46.561655,87.15847,59.119392,62.604346,71.280787,63.109895
22:08.6,53.464198,103.439927,81.219134,80.191424,46.06867,87.254219,54.905706,55.322009,77.115931,62.103393
22:08.7,48.939513,101.791411,78.655547,68.088082,46.132035,87.943222,55.351639,52.435057,74.196318,64.604041
22:08.8,55.720378,96.820243,79.892794,50.554403,46.033362,87.717533,57.182178,53.836983,83.641374,62.73819
22:08.9,54.057207,87.735232,80.575392,47.948238,47.154879,88.07562,59.844499,53.773157,73.40457,61.172402
22:09.0,56.344181,105.611397,80.270745,55.980304,47.909111,87.952236,49.865872,56.627146,80.513272,57.64588
22:09.1,51.016575,101.692289,79.826798,48.381475,47.333331,89.873694,49.177532,50.408206,80.729262,61.12076
22:09.2,55.336825,87.515148,74.85127,67.582787,50.404555,89.887373,49.126021,49.674046,78.267275,67.18119
22:09.3,54.151766,73.075014,71.059862,97.654437,48.954659,89.074976,53.526289,52.782732,71.631194,65.295547
22:09.4,58.267421,62.794729,63.63791,92.942446,49.075181,88.8233,54.326964,59.107122,70.93294,63.878616
22:09.5,55.737068,77.232468,58.907839,87.729054,48.131597,88.280118,55.586395,51.352826,71.896643,58.417354
22:09.6,60.679736,76.853562,79.060894,89.566063,47.832165,88.606084,59.293494,59.34288,73.18285,55.660738
22:09.7,53.646439,62.471139,78.444251,77.133293,47.216628,88.22874,60.9151,50.136218,66.940273,60.678023
22:09.8,57.510292,53.469708,77.851352,62.366722,46.593676,88.103014,61.306259,62.182084,74.229834,66.476788
22:09.9,86.555869,60.295976,90.032773,73.818484,48.997491,89.290486,67.583853,53.45747,67.85215,62.904743
22:10.0,89.056306,51.736187,91.080162,83.562864,51.828725,87.948258,54.057218,56.906011,70.969148,53.763473
22:10.1,91.693688,52.620335,88.738236,85.968731,47.674034,88.68787,50.913424,85.153628,69.758568,55.152896
22:10.2,95.507477,99.89243,87.273587,78.591855,49.017342,89.171334,52.214405,66.088247,66.147379,51.923766
22:10.3,93.014107,96.928851,86.972179,80.404998,49.267103,89.613312,98.341628,49.799353,67.347591,50.607786
22:10.4,99.371789,100.891576,83.528217,66.925097,49.239126,87.534945,74.919758,48.177988,64.566971,68.771486
22:10.5,94.555926,96.838146,86.921467,63.346174,47.769434,88.361128,67.721569,51.833084,59.131435,68.186352
22:10.6,97.072065,96.529206,90.70534,55.983314,59.248975,88.182099,64.867943,57.37167,63.973608,67.10182
22:10.7,91.623023,97.250141,91.243029,55.239448,54.548971,87.344353,69.21901,60.76656,76.872193,64.511095
22:10.8,91.350617,97.277061,91.585697,51.142999,64.242149,88.282044,101.682097,65.657546,84.410228,67.051905
22:10.9,83.451359,96.541281,91.627933,47.015292,53.382658,87.936485,99.256934,65.360185,80.678708,63.93137
