Time,Zhangjin,Tianzi,Xiaoshi,Xinchang
19:34:44.814,69.896319,49.06895,57.791249,74.678525
19:34:44.913,52.885706,68.28681,57.668664,75.408925
19:34:45.013,58.698046,56.468877,57.417108,74.972707
19:34:45.113,49.750277,69.003247,65.66437,75.749199
19:34:45.213,56.90567,80.579003,66.246464,75.102021
19:34:45.313,62.560959,51.998753,60.018145,74.326486
19:34:45.413,57.810041,81.764266,56.266463,74.33203
19:34:45.514,56.408596,71.586663,52.515781,74.332698
19:34:45.613,66.378409,78.171601,64.850422,103.919608
19:34:45.714,64.613556,87.384693,49.626804,92.319471
19:34:45.813,62.632562,87.045865,53.233531,92.901183
19:34:45.913,72.830288,102.895434,51.635854,95.094539
19:34:46.014,60.743938,101.748386,49.037201,97.720327
19:34:46.113,64.960799,96.563201,52.40193,100.514216
19:34:46.214,59.483035,89.236641,50.081233,97.702702
19:34:46.313,57.915505,92.609913,58.332718,101.89876
19:34:46.413,69.396724,104.735322,59.898141,76.29426
19:34:46.513,55.604273,100.517171,66.191514,90.359711
19:34:46.614,60.65348,82.363294,64.167702,84.881712
19:34:46.714,58.663284,93.612467,68.344881,73.089006
19:34:46.813,78.590884,102.717493,66.00931,100.544257
19:34:46.913,63.372675,71.978359,71.004715,95.857487
19:34:47.013,55.176311,93.763834,66.16041,87.645808
19:34:47.113,68.282096,95.115098,63.019443,82.651947
19:34:47.213,60.135575,97.976262,72.985188,93.618913
19:34:47.313,64.187951,72.854252,69.155341,104.40796
19:34:47.413,76.302316,94.825864,65.482106,71.255596
19:34:47.513,63.435611,99.438845,59.450264,72.637348
19:34:47.613,68.849065,99.856913,51.487003,92.650885
19:34:47.713,65.090305,86.37454,56.780544,101.461436
19:34:47.813,70.529072,90.795123,72.5514,98.083956
19:34:47.913,65.486719,92.563096,57.223753,96.2188
19:34:48.013,62.157115,85.197059,69.030163,92.826789
19:34:48.113,64.249963,96.291664,66.068576,88.531877
19:34:48.213,65.797096,78.444772,77.642107,97.170393
19:34:48.313,66.000365,56.80795,74.865794,81.231228
19:34:48.413,70.632047,98.704513,67.450021,81.035704
19:34:48.513,70.413636,96.124022,80.48158,94.473221
19:34:48.613,63.329862,98.921509,77.003224,101.388938
19:34:48.713,56.268541,98.374482,60.639138,97.573019
19:34:48.813,59.407797,101.923314,66.66547,82.241595
19:34:48.913,63.257782,90.505156,75.710087,77.512165
19:34:49.013,62.300279,90.111692,51.939302,100.510269
19:34:49.113,56.784938,100.920966,75.752411,99.055854
19:34:49.213,67.977788,102.085702,51.240818,72.326859
19:34:49.313,48.611709,81.487963,50.874781,71.219708
19:34:49.413,62.734888,94.688176,48.37179,75.453571
19:34:49.513,52.986415,89.765554,81.265929,74.182129
19:34:49.613,51.136434,78.3707,51.268433,75.504077
19:34:49.714,76.132484,73.448053,49.58868,75.097293
19:34:49.813,74.983715,82.387021,48.321988,84.754774
19:34:49.913,59.841344,82.435062,49.951557,92.652295
19:34:50.013,72.778847,49.566027,49.159953,83.996642
19:34:50.113,67.321736,64.854855,49.59265,85.128329
19:34:50.213,66.97096,46.683254,48.162853,80.972221
19:34:50.313,51.065434,51.076778,79.28833,74.089261
19:34:50.413,66.832092,91.599794,77.607107,92.356043
19:34:50.513,58.796836,96.840618,56.620365,74.133492
19:34:50.613,59.076816,70.499161,49.692908,87.150104
19:34:50.713,66.933396,57.936628,50.358918,88.419433
19:34:50.813,87.652724,96.567435,49.57644,83.20803
19:34:50.913,60.633117,92.859957,48.284997,86.132423
19:34:51.013,58.650203,97.515243,47.59326,79.853436
19:34:51.113,75.489895,103.881387,49.045342,95.63274
19:34:51.213,67.413181,103.336666,48.566402,86.062904
19:34:51.313,64.033194,69.676975,50.715774,80.623522
19:34:51.414,71.062073,73.979982,49.726825,79.940844
19:34:51.513,77.31489,92.962786,48.322775,90.495162
19:34:51.613,75.309772,75.614426,67.082904,96.074772
19:34:51.713,72.140184,58.940887,65.213303,76.206987
19:34:51.813,73.971073,90.396344,55.457128,88.786247
19:34:51.913,78.390182,80.903327,74.212761,73.544207
19:34:52.013,72.920094,77.766492,50.303546,87.21907
19:34:52.113,61.203595,95.022233,60.135558,93.545724
19:34:52.213,74.220796,75.705014,66.697367,86.959039
19:34:52.313,80.541673,55.428714,53.770137,97.619069
19:34:52.413,77.007668,57.116836,50.456615,94.221601
19:34:52.513,63.389257,84.775408,53.934837,73.376593
19:34:52.613,64.631259,89.474958,62.499499,74.644211
19:34:52.713,62.959539,85.770171,55.74442,74.461095
19:34:52.813,57.697867,99.599709,49.902367,74.977448
19:34:52.913,59.476664,102.06992,50.174802,74.66711
19:34:53.013,68.686356,79.402866,51.644291,73.834252
19:34:53.113,54.942871,88.891089,51.556909,74.433447
19:34:53.213,77.264029,97.15638,56.32873,74.889246
19:34:53.313,68.493946,96.740815,51.435183,74.862532
19:34:53.413,73.948356,98.675007,50.227033,74.416592
19:34:53.513,70.039314,100.461674,50.030727,74.866723
19:34:53.613,65.422234,85.79959,50.272129,76.051386
19:34:53.713,87.301732,80.834488,62.722439,96.354152
19:34:53.814,73.898999,93.811102,54.116884,89.984584
19:34:53.914,71.247937,105.530797,81.171297,76.396159
19:34:54.014,69.811646,82.440377,74.547348,87.584969
19:34:54.114,66.775391,89.016569,59.400425,94.086291
19:34:54.214,75.164873,96.089611,67.078395,80.511326
19:34:54.314,72.885543,69.933076,60.132547,88.140594
19:34:54.413,61.510565,77.098363,52.445723,78.688532
19:34:54.514,74.98709,66.664816,59.159335,75.642275
19:34:54.613,50.362234,56.157827,57.177071,74.819698
19:34:54.714,77.113955,64.950783,59.689155,91.48491
19:34:54.814,58.235507,65.882829,54.767994,73.173791
19:34:54.913,68.292129,58.410981,59.49743,90.376622
19:34:55.014,79.823588,57.054702,64.637327,80.24226
19:34:55.114,69.289368,90.219571,58.530857,84.7951
19:34:55.214,70.878776,101.511891,56.081609,87.259366
19:34:55.314,60.88002,98.188457,54.222203,88.338582
19:34:55.414,56.643935,79.013639,51.314043,82.966991
19:34:55.514,61.69764,62.328774,53.018138,74.106513
19:34:55.613,63.873561,77.200039,52.844645,81.233777
19:34:55.713,61.400735,85.87772,51.541993,72.586077
19:34:55.814,62.70817,71.779312,67.99911,71.787651
19:34:55.914,59.107343,94.65011,69.09792,74.70486
19:34:56.013,57.135807,79.309332,59.777928,74.815852
19:34:56.114,59.033564,84.216629,65.280936,74.745425
19:34:56.213,63.847468,90.185696,54.406257,76.039286
19:34:56.314,63.979618,67.958435,59.599916,75.352729
19:34:56.414,66.352917,70.841143,62.771519,74.491468
19:34:56.514,67.36803,53.532549,62.192972,75.230968
19:34:56.614,65.028867,51.699805,52.153124,74.423563
19:34:56.714,57.231425,47.433573,56.194231,74.224076
19:34:56.814,57.280743,46.900051,63.226987,75.434739
19:34:56.914,57.81979,53.117139,72.085331,74.334769
19:34:57.014,53.3219,58.260668,74.290204,74.257148
19:34:57.114,59.201273,67.95833,76.882557,74.444292
19:34:57.214,61.591871,70.83395,62.131995,75.232219
19:34:57.314,59.30909,67.393341,63.014788,76.896497
19:34:57.414,55.584211,88.017406,66.428602,76.261562
19:34:57.514,54.617455,57.548699,63.779848,73.631913
19:34:57.614,59.349076,100.940657,69.356174,75.042403
19:34:57.713,62.194048,101.015393,53.496477,73.857199
19:34:57.814,62.989658,105.257198,66.11706,97.441635
19:34:57.914,57.22342,98.615447,62.520231,96.606704
19:34:58.014,57.710981,96.430772,62.896152,88.505543
19:34:58.113,57.648053,99.274827,57.288059,72.695393
19:34:58.214,66.429034,89.850546,55.296322,91.075408
19:34:58.314,71.460561,84.50828,63.938406,90.971748
19:34:58.414,70.435791,92.542649,57.985044,78.753856
19:34:58.513,72.138097,100.032281,60.313379,97.926586
19:34:58.614,70.481679,94.832259,65.772993,92.920723
19:34:58.714,64.319237,49.227897,59.900124,78.791681
19:34:58.814,60.880436,47.026916,64.359465,76.214412
19:34:58.914,50.520545,49.1108,53.315612,74.668527
19:35:2.299,60.051023,67.786491,49.850624,74.68693
19:35:2.399,64.224357,73.456645,52.461903,73.994957
19:35:2.499,50.125155,76.301062,51.571144,74.548774
19:35:2.599,48.847491,79.503524,59.860999,75.051796
19:35:2.699,49.986103,82.503031,58.230944,75.084434
19:35:2.799,49.478188,83.481049,57.790369,78.292311
19:35:2.899,52.219075,86.856829,65.251359,75.602289
19:35:2.999,66.863732,85.326011,71.716343,93.931306
19:35:3.099,69.267289,83.991877,55.741477,91.947711
19:35:3.199,68.862035,87.090161,57.811733,89.20299
19:35:3.299,69.917338,83.489462,61.142229,82.126208
19:35:3.399,71.696,85.73173,52.329874,81.123243
19:35:3.499,70.584226,82.591687,59.852786,80.091209
19:35:3.599,69.05276,83.464448,71.220681,79.903321
19:35:3.699,69.278903,83.294337,65.448615,79.534884
19:35:3.799,59.563003,82.944069,67.56084,78.791569
19:35:3.899,54.626005,83.567974,50.736844,77.769821
19:35:3.999,72.565602,83.889562,54.791297,81.565726
19:35:4.099,72.534614,84.501949,58.876895,87.399145
19:35:4.199,62.16034,83.523049,55.009403,81.647531
19:35:4.299,62.917164,83.573077,70.520818,79.418433
19:35:4.399,67.525779,82.953895,66.971117,98.746981
19:35:4.499,68.305437,83.730551,54.912005,92.894851
19:35:4.599,66.484063,83.006661,63.9407,88.443357
19:35:4.699,69.066834,85.10474,66.613825,97.091363
19:35:4.799,70.285895,84.793739,52.899878,92.180752
19:35:4.899,68.175813,85.505329,52.840771,88.479814
19:35:4.999,70.982755,84.280292,67.767094,89.459538
19:35:5.099,70.504876,84.505532,50.922342,85.996457
19:35:5.199,68.557475,84.895183,102.411796,82.83628
19:35:5.299,68.713125,86.820976,49.937063,81.622069
19:35:5.399,70.957369,84.723588,54.7732,86.30744
19:35:5.499,70.580635,84.655241,68.831731,82.974382
19:35:5.599,72.636795,84.621005,51.386436,82.636713
19:35:5.699,70.35575,84.659521,52.202636,90.636856
19:35:5.799,62.029072,85.158455,56.186057,87.654152
19:35:5.899,66.265393,85.395875,50.099608,87.15111
19:35:5.999,73.04573,85.462134,73.286892,80.203605
19:35:6.099,73.236374,85.103541,73.160399,83.800485
19:35:6.199,71.724399,83.996169,66.476731,81.901215
19:35:6.299,79.25268,83.831995,63.734799,82.123774
19:35:6.399,55.327568,83.085912,61.186152,83.013184
19:35:6.499,75.568467,83.393473,78.746855,81.000144
19:35:6.599,73.200614,85.296348,90.478228,79.994159
19:35:6.699,57.068163,84.114647,67.424931,85.897061
19:35:6.799,74.690125,86.198317,59.982784,85.155218
19:35:6.899,55.769427,82.439722,66.538324,82.436733
19:35:6.999,67.608652,82.795742,85.377862,79.484775
